ID,Módulo,Caso de Prueba,Tipo,Prioridad,Archivo,Estado,Descripción,Precondiciones,Pasos,Resultado Esperado
AUTH-001,Autenticación,Login exitoso con credenciales válidas,Positivo,Alta,tests/auth/auth.spec.js,✅,"Verificar que un usuario puede iniciar sesión con credenciales correctas","Usuario existe en BD, Servidor corriendo","1. Ir a /login
2. Ingresar email válido
3. Ingresar password válido
4. Click en Iniciar Sesión",Redirige a /dashboard
AUTH-002,Autenticación,Login fallido con email incorrecto,Negativo,Alta,tests/auth/auth.spec.js,✅,Verificar que no se permite login con email inexistente,Servidor corriendo,"1. Ir a /login
2. Ingresar email inexistente
3. Ingresar cualquier password
4. Click en Iniciar Sesión",Muestra mensaje de error y permanece en /login
AUTH-003,Autenticación,Login fallido con contraseña incorrecta,Negativo,Alta,tests/auth/auth.spec.js,✅,Verificar que no se permite login con password incorrecta,"Usuario existe en BD, Servidor corriendo","1. Ir a /login
2. Ingresar email válido
3. Ingresar password incorrecta
4. Click en Iniciar Sesión",Muestra mensaje de error
AUTH-004,Autenticación,Login con campos vacíos,Negativo,Media,tests/auth/auth.spec.js,✅,Verificar validación de campos obligatorios,Servidor corriendo,"1. Ir a /login
2. Dejar campos vacíos
3. Click en Iniciar Sesión",Muestra validación de campos requeridos
AUTH-005,Autenticación,Logout exitoso,Positivo,Alta,tests/auth/auth.spec.js,✅,Verificar que un usuario puede cerrar sesión,Usuario autenticado,"1. Estar autenticado
2. Click en menú de usuario
3. Click en Cerrar Sesión",Redirige a /login y limpia sesión
AUTH-006,Autenticación,Acceso sin autenticación,Negativo,Alta,tests/auth/auth.spec.js,✅,Verificar que rutas protegidas requieren autenticación,Sesión no iniciada,"1. Ir directamente a /dashboard sin login",Redirige a /login
USERS-001,Usuarios,Crear usuario exitosamente,Positivo,Alta,tests/users/users.spec.js,✅,Validar creación de nuevo usuario,Admin autenticado,"1. Ir a /usuarios
2. Click en Crear
3. Llenar formulario completo
4. Click en Guardar",Usuario creado exitosamente
USERS-002,Usuarios,Editar usuario existente,Positivo,Alta,tests/users/users.spec.js,✅,Validar edición de usuario existente,"Admin autenticado, Usuario existe","1. Ir a /usuarios
2. Click en Editar en un usuario
3. Modificar datos
4. Guardar",Usuario actualizado
USERS-003,Usuarios,Eliminar usuario,Positivo,Media,tests/users/users.spec.js,✅,Validar eliminación de usuario,"Admin autenticado, Usuario existe","1. Ir a /usuarios
2. Click en Eliminar
3. Confirmar",Usuario eliminado
USERS-004,Usuarios,Crear usuario - Email duplicado,Negativo,Alta,tests/users/users.spec.js,✅,Validar que no se permiten emails duplicados,"Admin autenticado, Email ya existe","1. Ir a /usuarios
2. Crear con email existente
3. Intentar guardar",Muestra error de email duplicado
